,Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Western Conference,Conference,year
7,Chicago Bulls*,69,13,0.841,—,103.1,92.3,10.7,,Chicago Bulls*,1997
8,Atlanta Hawks*,56,26,0.683,13.0,94.8,89.4,5.52,,Atlanta Hawks*,1997
9,Detroit Pistons*,54,28,0.659,15.0,94.2,88.9,5.45,,Detroit Pistons*,1997
10,Charlotte Hornets*,54,28,0.659,15.0,98.9,97.0,2.13,,Charlotte Hornets*,1997
11,Cleveland Cavaliers,42,40,0.512,27.0,87.5,85.6,2.32,,Cleveland Cavaliers,1997
12,Indiana Pacers,39,43,0.476,30.0,95.4,94.4,1.49,,Indiana Pacers,1997
13,Milwaukee Bucks,33,49,0.402,36.0,95.3,97.2,-1.38,,Milwaukee Bucks,1997
14,Toronto Raptors,30,52,0.366,39.0,95.5,98.6,-2.56,,Toronto Raptors,1997
0,,64,18,0.78,—,103.1,94.3,7.97,Utah Jazz*,Utah Jazz*,1997
1,,57,25,0.695,7.0,100.6,96.1,3.85,Houston Rockets*,Houston Rockets*,1997
2,,40,42,0.488,24.0,96.1,97.6,-1.82,Minnesota Timberwolves*,Minnesota Timberwolves*,1997
3,,24,58,0.293,40.0,90.6,97.0,-6.47,Dallas Mavericks,Dallas Mavericks,1997
4,,21,61,0.256,43.0,97.8,104.1,-6.4,Denver Nuggets,Denver Nuggets,1997
5,,20,62,0.244,44.0,90.5,98.3,-7.93,San Antonio Spurs,San Antonio Spurs,1997
6,,14,68,0.171,50.0,89.2,99.4,-10.17,Vancouver Grizzlies,Vancouver Grizzlies,1997
7,,57,25,0.695,—,100.9,93.2,6.91,Seattle SuperSonics*,Seattle SuperSonics*,1997
8,,56,26,0.683,1.0,100.0,95.7,3.66,Los Angeles Lakers*,Los Angeles Lakers*,1997
9,,49,33,0.598,8.0,99.0,94.8,3.56,Portland Trail Blazers*,Portland Trail Blazers*,1997
10,,40,42,0.488,17.0,102.8,102.2,0.21,Phoenix Suns*,Phoenix Suns*,1997
11,,36,46,0.439,21.0,97.2,99.5,-2.66,Los Angeles Clippers*,Los Angeles Clippers*,1997
12,,34,48,0.415,23.0,96.4,99.8,-3.64,Sacramento Kings,Sacramento Kings,1997
13,,30,52,0.366,27.0,99.6,104.4,-4.9,Golden State Warriors,Golden State Warriors,1997
0,Miami Heat*,55,27,0.671,—,95.0,90.0,5.09,,Miami Heat*,1998
1,New York Knicks*,43,39,0.524,12.0,91.6,89.1,2.74,,New York Knicks*,1998
2,New Jersey Nets*,43,39,0.524,12.0,99.6,98.1,1.88,,New Jersey Nets*,1998
3,Washington Wizards,42,40,0.512,13.0,97.2,96.6,1.11,,Washington Wizards,1998
4,Orlando Magic,41,41,0.5,14.0,90.1,91.2,-0.53,,Orlando Magic,1998
5,Boston Celtics,36,46,0.439,19.0,95.9,98.5,-1.96,,Boston Celtics,1998
6,Philadelphia 76ers,31,51,0.378,24.0,93.3,95.7,-1.89,,Philadelphia 76ers,1998
7,Chicago Bulls*,62,20,0.756,—,96.7,89.6,7.24,,Chicago Bulls*,1998
8,Indiana Pacers*,58,24,0.707,4.0,96.0,89.9,6.25,,Indiana Pacers*,1998
9,Charlotte Hornets*,51,31,0.622,11.0,96.6,94.6,2.45,,Charlotte Hornets*,1998
10,Atlanta Hawks*,50,32,0.61,12.0,95.9,92.3,3.85,,Atlanta Hawks*,1998
11,Cleveland Cavaliers*,47,35,0.573,15.0,92.5,89.8,3.06,,Cleveland Cavaliers*,1998
12,Detroit Pistons,37,45,0.451,25.0,94.2,92.6,1.95,,Detroit Pistons,1998
13,Milwaukee Bucks,36,46,0.439,26.0,94.5,96.4,-1.33,,Milwaukee Bucks,1998
14,Toronto Raptors,16,66,0.195,46.0,94.9,104.2,-8.33,,Toronto Raptors,1998
0,,62,20,0.756,—,101.0,94.4,5.73,Utah Jazz*,Utah Jazz*,1998
1,,56,26,0.683,6.0,92.5,88.5,3.3,San Antonio Spurs*,San Antonio Spurs*,1998
2,,45,37,0.549,17.0,101.1,100.4,0.17,Minnesota Timberwolves*,Minnesota Timberwolves*,1998
3,,41,41,0.5,21.0,98.8,99.5,-1.23,Houston Rockets*,Houston Rockets*,1998
4,,20,62,0.244,42.0,91.4,97.5,-6.33,Dallas Mavericks,Dallas Mavericks,1998
5,,19,63,0.232,43.0,96.6,103.9,-7.47,Vancouver Grizzlies,Vancouver Grizzlies,1998
6,,11,71,0.134,51.0,89.0,100.8,-11.74,Denver Nuggets,Denver Nuggets,1998
7,,61,21,0.744,—,100.6,93.4,6.33,Seattle SuperSonics*,Seattle SuperSonics*,1998
8,,61,21,0.744,—,105.5,97.8,6.88,Los Angeles Lakers*,Los Angeles Lakers*,1998
9,,56,26,0.683,5.0,99.6,94.4,4.44,Phoenix Suns*,Phoenix Suns*,1998
10,,46,36,0.561,15.0,94.3,92.9,0.83,Portland Trail Blazers*,Portland Trail Blazers*,1998
